title,text,outlet_name,datetime,label,id
Spain sack Luis Enrique after World Cup flop,"Spain sacked coach Luis Enrique on Thursday after the 2010 champions were dumped out of the World Cup by Morocco at the last-16 stage, quickly naming his replacement as under-21s boss Luis de la Fuente.
Spain started their campaign in Qatar in style by hammering Costa Rica 7-0 and qualified for the knockout phase despite a shock 2-1 defeat to Japan.

They were strong favourites to win their last-16 match against Morocco but crashed out on penalties after the game finished goalless following extra-time.

�Both the president, Luis Rubiales, and the sporting director, Jose Francisco Molina, have told the coach their decision,� the RFEF (football association) said in a statement.

They said they wanted to thank Luis Enrique and his staff for their work, but had decided to start a �new project�.

Shortly afterwards, the federation announced that De la Fuente, who led Spain�s men�s team to the silver medal at last year�s Olympics, was the new man in the hot seat.

READ MORE
Mosimane hails Regragui after guiding Morocco to first World Cup semis
Luis Enrique expressed his gratitude to the RFEF for the opportunity he had been given in a farewell message on Instagram.

�What the national team needs is support, in all senses, so that Luis de la Fuente can achieve what he wants,� he wrote, also thanking the players, staff and fans.

�(To) the players, who have been exemplary in their behaviour and faithful to the idea put before them, I am sorry not to have been able to help you more.�

Spain last lifted a major trophy a decade ago at Euro 2012, while they have not won a single knockout game at the Word Cup since triumphing in South Africa in 2010.

� New project �

Luis Enrique took over in 2018 after Spain�s disappointing showing at the World Cup in Russia, and led La Roja to the semi-finals of Euro 2020, where they were also beaten on penalties, by Italy.

His time as Spain coach was characterised by a firm commitment to maintaining possession.

They attempted more than 1,000 passes against Morocco but ended up with nothing to show for it, forcing Yassine Bounou into only one save before the shootout.

The RFEF announced De la Fuente as Luis Enrique�s replacement and his appointment will be ratified next week by the federation�s board of directors.

�The new coach will make his debut in March for Euro 2024 qualifiers, taking charge of his first games against Norway and Scotland,� the RFEF said in a statement.

De la Fuente will be officially presented on Monday as the new coach.

The 61-year-old likes his teams to keep hold of the ball but is more flexible than Luis Enrique and willing to try other strategies when necessary.

Many of the young players in the Spain World Cup squad previously played for De la Fuente at youth level.",The Citizen,9/12/2022 05:09:48,RIGHT,65
FIFA World Cup 2022: Gavi pens emotional message to Luis Enrique after Spain exit,"Spain midfielder Gavi has sent an emotional message to Luis Enrique after the former Barcelona manager parted ways with the national team after their Round of 16 loss to Morocco.
In Short
Luis Enrique parted ways with Spain on Thursday
Gavi thanked Enrique for trusting him
The young midfielder said that the players will always be grateful towards Enrique
By India Today Web Desk: Spain midfielder Gavi has penned an emotional message on social media, thanking former Spain manager Luis Enrique for the faith he showed in him.

Enrique parted ways with the former World Champions on Thursday, a day after their Round of 16 loss to Morocco on Tuesday. The former World Champions started their campaign with a bang as they put Costa Rica to the sword. They would then draw their next game against and lost their final group match to Japan.

The Spain football federation went on to name the country's U-21 team coach, Luis de la Fuente, as the replacement for the former Barcelona tactician.

""The RFEF has chosen Luis de la Fuente as the new (Spain) coach,"" RFEF said in a statement.

""The ... RFEF has delivered to the president a report in which it determined that a new project should start for the Spain national team, with the aim of continuing the growth achieved in recent years thanks to the work carried out by Luis Enrique (and the staff).

""Both the RFEF president Luis Rubiales and sports director, Jose Francisco Molina have informed Luis Enrique of the decision. The RFEF would like to thank Luis Enrique and his entire coaching staff for the work done in the last few years.""
Gavi decided to pen a special message for the departing Spain manager on Instagram and thanked him for trusting him with a spot in the national team. The Barca midfielder wished Enrique success in the future and completed the message by saying that the team will be always grateful towards him.

""Thank you so much for betting and trusting me in the @sefutbol mister! I wish you luck and success in the future, you gave it all for the team and we will always be grateful!"" said Gavi.
Spain's defeat to Morocco was the only major upset in the Round of 16 as the field has been set for the quarterfinals of the World Cup.",India Today,9/12/2022 19:38:59,RIGHT,66
Spain replace coach Luis Enrique after early World Cup exit,"Luis de la Fuente to lead national football team after shock defeat to Morocco in the round of 16 of the tournament in Qatar.
Spain�s shock loss to Morocco and elimination from the men�s World Cup has triggered changes for the country�s national football team, with coach Luis Enrique replaced by Luis de la Fuente.

The Spanish football federation on Thursday thanked Enrique but said it was time to �start a new project� following Tuesday�s defeat. The change was made after a recommendation from Spain�s sporting officials.
The 61-year-old de la Fuente, a former left-back with Sevilla and Athletic Bilbao, helped Spain�s under-19 squad win the European Championship in 2015, and the under-21 team win Euro 2019. He also coached Spain�s squad at the Tokyo Olympic Games, where they won a silver medal.

De la Fuente also once coached the senior national team when youth players were used in a friendly against Lithuania because the main squad had to go into isolation because of the coronavirus.

Other candidates who had been considered included former Belgium manager Roberto Mart�nez and ex-Athletic Bilbao coach Marcelino Garc�a Toral.

Spain got off to a good start in Qatar, routing Costa Rica 7-0. But La Roja did not win again in the group stages, drawing 1-1 with Germany and losing 2-1 to Japan before being knocked out in the round of 16 by Morocco on penalties after a goalless draw in normal and extra time.

Enrique, a Barcelona legend, took over the national team in 2018 to start revamping the squad after its elimination in the round of 16 of the World Cup in Russia. He temporarily left because of the illness and eventual death of his young daughter but returned in 2019.

He helped Spain reach the last four of the Nations League twice, including this season and last year when it lost the final to France.

He also led Spain to the semi-finals of the European Championship last year, losing to Italy in a penalty shootout.

The 52-year-old�s contract had been due to end after the World Cup. Moments after the loss to Morocco, he said he would take some time to rest before starting talks with the federation about his future.
The team�s elimination in Qatar raised more questions about whether Spain, the 2010 world champions, should start overhauling their football philosophy and get rid of the �tiki-taka� ball-possession style that has not produced much in the ways of recent results. Enrique had said he was not planning to relinquish the �tiki-taka� if he remained as a coach, and de la Fuente also is likely to keep it alive.

Football analyst Gemma Soler told Al Jazeera that Enrique�s removal did not come as a surprise following the �disaster� in Qatar and described de la Fuente�s appointment as �an internal solution�.

�He�s been the under-21 coach so he knows all this young generation of Spanish new players,� Soler said, adding that the new coach might share his predecessor�s football ideas but in terms of character, the two men are quite different.

�Luis Enrique has such a [strong] personality, he likes to speak and to be in the spotlight, while Luis de la Fuente is the opposite.�

De la Fuente is expected to make his debut with the senior team when Spain resume playing in qualifying for Euro 2024, facing Norway in their opening match of the campaign on March 25 next year.",AI Jazeera,8/12/2022 14:06:58,CENTER,67
Luis Enrique replaced as Spain coach after World Cup exit,"Spain's head coach Luis Enrique, center, talks to his players after the penalty shootout at the World Cup round of 16 soccer match between Morocco and Spain, at the Education City Stadium in Al Rayyan, Qatar, Tuesday, Dec. 6, 2022. (AP Photo/Luca Bruno)
DOHA, Qatar (AP) � Luis Enrique was replaced by Luis de la Fuente as Spain's coach on Thursday, two days after the national team was eliminated in the round of 16 at the World Cup.

Spain lost to Morocco 3-0 in a penalty shootout after a scoreless draw in regular and extra time.

The Spanish soccer federation thanked Luis Enrique, but said it was time to �start a new project� to keep the growth achieved by the coach in recent years. It said the change was made after a recommendation by its sporting officials.

Luis Enrique said he was thankful to his players while he was in charge, as well as to federation president Luis Rubiales.

�I'm sorry I wasn't able to help more,� the outgoing coach said in a statement posted on Twitter and Instagram. �It was very special to be part of this.�

He also thanked fans and called for their support to the new coach.

�What the national team needs is support, in all its meaning, so Luis de la Fuente can achieve the goals.�

The 61-year-old De la Fuente, a former left back with Sevilla and Athletic Bilbao, helped Spain's under-19 squad win the European Championship in 2015, and the under-21 team win Euro 2019. He also coached Spain's squad, which won a silver medal at the Tokyo Olympic Games.

De la Fuente had coached the senior national team once, when youth players were used in a friendly against Lithuania because the main squad had to go into isolation because of the coronavirus.

Other candidates who had been considered besides De la Fuente, who was Spain's under-21 coach, included former Belgium manager Roberto Mart�nez and former Athletic Bilbao coach Marcelino Garc�a Toral.

Spain got off to a good start in Qatar, routing Costa Rica 7-0, but La Roja couldn't win again in its last three matches. It drew 1-1 with Germany and lost 2-1 to Japan before being held by Morocco.

Luis Enrique took over the national team in 2018 to start revamping the squad after its elimination in the round of 16 of the World Cup in Russia. He temporarily left because of the illness and eventual death of his young daughter, but returned in 2019.

He helped Spain reach the last four of the Nations League twice, including this season and last year, when it lost the final to France.

He also led Spain to the semifinals of the European Championship last year, losing to Italy in a penalty shootout.

Luis Enrique�s contract ended after the World Cup. The former Barcelona player and coach had said moments after the loss to Morocco that he would take some time to rest before starting talks with the federation about his future. He said he would have liked to stay with the national team �forever,� but knew that it might not be possible.

The 52-year-old Luis Enrique, not long ago seen as one of the most uptight coaches in soccer, had opened up at the World Cup, doing streaming sessions, going on bicycle rides and talking frankly about controversial issues.

The team�s elimination in Qatar raised more questions about whether Spain should start overhauling its soccer philosophy and get rid of the �tiki-taka� ball-possession style that has not produced results recently. Luis Enrique had said he wasn't planning to relinquish the �tiki-taka� if he remained as coach, and De la Fuente also is likely to keep it alive.

De la Fuente is expected to make his debut with the senior team when Spain resumes playing in qualifying for Euro 2024 in March next year. The federation was also changing its sporting director.

___

AP World Cup coverage: https://apnews.com/hub/world-cup and https://twitter.com/AP_Sports

Tales Azzoni, The Associated Press",BarrieToday.com,8/12/2022 08:40:07,LEFT,68
"Spain coach Luis Enrique fired after FIFA World Cup debacle, Luis de la Fuente takes over","Luis Enrique was sacked as Spain coach on Thursday after the team's elimination in the last-16 at the World Cup with the country's under-21 manager Luis de la Fuente named as his replacement by the Spanish football federation (RFEF). Spain were beaten on penalties by Morocco after a goalless draw on Tuesday in an upset result after failing to turn their dominance into a victory.

""The RFEF has chosen Luis de la Fuente as the new (Spain) coach,"" RFEF said in a statement. ""The ... RFEF has delivered to the president a report in which it determined that a new project should start for the Spain national team, with the aim of continuing the growth achieved in recent years thanks to the work carried out by Luis Enrique (and the staff). ""Both the RFEF president Luis Rubiales and sports director, Jose Francisco Molina have informed Luis Enrique of the decision. The RFEF would like to thank Luis Enrique and his entire coaching staff for the work done in the last few years.""
The 52-year-old said after the Morocco match that he was to blame for the defeat. Luis Enrique, who was first appointed Spain coach in 2018, had a contract until the end of the year. He is the fourth manager to get sacked after their teams were eliminated at the World Cup in Qatar. De la Fuente, 61, joined the RFEF in 2013 as the under-15 manager having worked with players like Marco Asensio, goalkeeper Unai Simon, Eric Garcia, Pau Torres, Pedri, Carlos Soler and Dani Olmo when they were youngsters.",WION,8/12/2022 00:32:36,CENTER,69
Luis Enrique replaced as Spain coach after World Cup exit,"DOHA, Qatar (AP) � Luis Enrique was replaced by Luis de la Fuente as Spain�s coach on Thursday, two days after the national team was eliminated in the round of 16 at the World Cup.

Spain lost to Morocco 3-0 in a penalty shootout after a scoreless draw in regular and extra time.

The Spanish soccer federation thanked Luis Enrique, but said it was time to �start a new project� to keep the growth achieved by the coach in recent years. It said the change was made after a recommendation by its sporting officials.

Luis Enrique said he was thankful to his players while he was in charge, as well as to federation president Luis Rubiales.

�I�m sorry I wasn�t able to help more,� the outgoing coach said in a statement posted on Twitter and Instagram. �It was very special to be part of this.�

He also thanked fans and called for their support to the new coach.

�What the national team needs is support, in all its meaning, so Luis de la Fuente can achieve the goals.�

The 61-year-old De la Fuente, a former left back with Sevilla and Athletic Bilbao, helped Spain�s under-19 squad win the European Championship in 2015, and the under-21 team win Euro 2019. He also coached Spain�s squad, which won a silver medal at the Tokyo Olympic Games.

De la Fuente had coached the senior national team once, when youth players were used in a friendly against Lithuania because the main squad had to go into isolation because of the coronavirus.

Other candidates who had been considered besides De la Fuente, who was Spain�s under-21 coach, included former Belgium manager Roberto Mart�nez and former Athletic Bilbao coach Marcelino Garc�a Toral.
Spain got off to a good start in Qatar, routing Costa Rica 7-0, but La Roja couldn�t win again in its last three matches. It drew 1-1 with Germany and lost 2-1 to Japan before being held by Morocco.

Luis Enrique took over the national team in 2018 to start revamping the squad after its elimination in the round of 16 of the World Cup in Russia. He temporarily left because of the illness and eventual death of his young daughter, but returned in 2019.

He helped Spain reach the last four of the Nations League twice, including this season and last year, when it lost the final to France.

He also led Spain to the semifinals of the European Championship last year, losing to Italy in a penalty shootout.

Luis Enrique�s contract ended after the World Cup. The former Barcelona player and coach had said moments after the loss to Morocco that he would take some time to rest before starting talks with the federation about his future. He said he would have liked to stay with the national team �forever,� but knew that it might not be possible.

The 52-year-old Luis Enrique, not long ago seen as one of the most uptight coaches in soccer, had opened up at the World Cup, doing streaming sessions, going on bicycle rides and talking frankly about controversial issues.

The team�s elimination in Qatar raised more questions about whether Spain should start overhauling its soccer philosophy and get rid of the �tiki-taka� ball-possession style that has not produced results recently. Luis Enrique had said he wasn�t planning to relinquish the �tiki-taka� if he remained as coach, and De la Fuente also is likely to keep it alive.

De la Fuente is expected to make his debut with the senior team when Spain resumes playing in qualifying for Euro 2024 in March next year. The federation was also changing its sporting director.

___

AP World Cup coverage: https://apnews.com/hub/world-cup and https://twitter.com/AP_Sports",Albuquerque Journal,8/12/2022 12:47:19,RIGHT,70
Luis Enrique replaced as Spain coach after World Cup exit,"DOHA, Qatar (AP) � Luis Enrique was replaced by Luis de la Fuente as Spain's coach on Thursday, two days after the national team was eliminated in the round of 16 at the World Cup .
Spain's head coach Luis Enrique, center, talks to his players after the penalty shootout at the World Cup round of 16 soccer match between Morocco and Spain, at the Education City Stadium in Al Rayyan, Qatar, Tuesday, Dec. 6, 2022. (AP Photo/Luca Bruno)
DOHA, Qatar (AP) � Luis Enrique was replaced by Luis de la Fuente as Spain's coach on Thursday, two days after the national team was eliminated in the round of 16 at the World Cup.

Spain lost to Morocco 3-0 in a penalty shootout after a scoreless draw in regular and extra time.

The Spanish soccer federation thanked Luis Enrique, but said it was time to �start a new project� to keep the growth achieved by the coach in recent years. It said the change was made after a recommendation by its sporting officials.

Luis Enrique said he was thankful to his players while he was in charge, as well as to federation president Luis Rubiales.

�I'm sorry I wasn't able to help more,� the outgoing coach said in a statement posted on Twitter and Instagram. �It was very special to be part of this.�

He also thanked fans and called for their support to the new coach.

�What the national team needs is support, in all its meaning, so Luis de la Fuente can achieve the goals.�

The 61-year-old De la Fuente, a former left back with Sevilla and Athletic Bilbao, helped Spain's under-19 squad win the European Championship in 2015, and the under-21 team win Euro 2019. He also coached Spain's squad, which won a silver medal at the Tokyo Olympic Games.

De la Fuente had coached the senior national team once, when youth players were used in a friendly against Lithuania because the main squad had to go into isolation because of the coronavirus.

Other candidates who had been considered besides De la Fuente, who was Spain's under-21 coach, included former Belgium manager Roberto Mart�nez and former Athletic Bilbao coach Marcelino Garc�a Toral.

Spain got off to a good start in Qatar, routing Costa Rica 7-0, but La Roja couldn't win again in its last three matches. It drew 1-1 with Germany and lost 2-1 to Japan before being held by Morocco.

Luis Enrique took over the national team in 2018 to start revamping the squad after its elimination in the round of 16 of the World Cup in Russia. He temporarily left because of the illness and eventual death of his young daughter, but returned in 2019.

He helped Spain reach the last four of the Nations League twice, including this season and last year, when it lost the final to France.

He also led Spain to the semifinals of the European Championship last year, losing to Italy in a penalty shootout.

Luis Enrique�s contract ended after the World Cup. The former Barcelona player and coach had said moments after the loss to Morocco that he would take some time to rest before starting talks with the federation about his future. He said he would have liked to stay with the national team �forever,� but knew that it might not be possible.

The 52-year-old Luis Enrique, not long ago seen as one of the most uptight coaches in soccer, had opened up at the World Cup, doing streaming sessions, going on bicycle rides and talking frankly about controversial issues.

The team�s elimination in Qatar raised more questions about whether Spain should start overhauling its soccer philosophy and get rid of the �tiki-taka� ball-possession style that has not produced results recently. Luis Enrique had said he wasn't planning to relinquish the �tiki-taka� if he remained as coach, and De la Fuente also is likely to keep it alive.

De la Fuente is expected to make his debut with the senior team when Spain resumes playing in qualifying for Euro 2024 in March next year. The federation was also changing its sporting director.

___

AP World Cup coverage: https://apnews.com/hub/world-cup and https://twitter.com/AP_Sports

Tales Azzoni, The Associated Press",Times Colonist,8/12/2022 06:35:43,LEFT,71
Luis Enrique replaced as Spain coach after World Cup exit,"DOHA, Qatar (AP) � Luis Enrique was replaced by Luis de la Fuente as Spain's coach on Thursday, two days after the national team was eliminated in the round of 16 at the World Cup.

Spain lost to Morocco 3-0 in a penalty shootout after a scoreless draw in regular and extra time.

The Spanish soccer federation thanked Luis Enrique, but said it was time to �start a new project� to keep the growth achieved by the coach in recent years. It said the change was made after a recommendation by its sporting officials.
The 61-year-old De la Fuente, a former left back with Sevilla and Athletic Bilbao, helped Spain's under-19 squad win the European Championship in 2015, and the under-21 team win Euro 2019. He also coached Spain's squad, which won a silver medal at the Tokyo Olympic Games.

De la Fuente had coached the senior national team once, when youth players were used in a friendly against Lithuania because the main squad had to go into isolation because of the coronavirus.

Other candidates who had been considered besides De la Fuente, who was Spain's under-21 coach, included former Belgium manager Roberto Mart�nez and former Athletic Bilbao coach Marcelino Garc�a Toral.

Spain got off to a good start in Qatar, routing Costa Rica 7-0, but La Roja couldn't win again in its last three matches. It drew 1-1 with Germany and lost 2-1 to Japan before being held by Morocco.

Luis Enrique took over the national team in 2018 to start revamping the squad after its elimination in the round of 16 of the World Cup in Russia. He temporarily left because of the illness and eventual death of his young daughter, but returned in 2019.

He helped Spain reach the last four of the Nations League twice, including this season and last year, when it lost the final to France.

He also led Spain to the semifinals of the European Championship last year, losing to Italy in a penalty shootout.

Luis Enrique�s contract ended after the World Cup. The former Barcelona player and coach had said moments after the loss to Morocco that he would take some time to rest before starting talks with the federation about his future. He said he would have liked to stay with the national team �forever,� but knew that it might not be possible.


The 52-year-old Luis Enrique, not long ago seen as one of the most uptight coaches in soccer, had opened up at the World Cup, doing streaming sessions, going on bicycle rides and talking frankly about controversial issues.

The team�s elimination in Qatar raised more questions about whether Spain should start overhauling its soccer philosophy and get rid of the �tiki-taka� ball-possession style that has not produced results recently. Luis Enrique had said he wasn't planning to relinquish the �tiki-taka� if he remained as coach, and De la Fuente also is likely to keep it alive.

De la Fuente is expected to make his debut with the senior team when Spain resumes playing in qualifying for Euro 2024 in March next year.",CP24,8/12/2022 16:36:45,CENTER,72
Luis Enrique replaced as Spain coach after World Cup exit,"DOHA, Qatar � Luis Enrique has been replaced by Luis de la Fuente as Spain's coach after the national team was eliminated in the round of 16 at the World Cup. The announcement on Thursday comes two days after Spain lost to Morocco 3-0 in a penalty shootout after a scoreless draw in regular and extra time. The federation thanked Luis Enrique but said it was time to ""start a new project"" to keep the growth achieved by the coach in recent years. De la Fuente is Spain's under-21 coach. Other candidates who had been considered included former Belgium manager Roberto Mart�nez and former Athletic Bilbao coach Marcelino Garc�a Toral.",KSL,8/12/2022 16:40:14,RIGHT,73
Luis Enrique replaced as Spain head coach after World Cup exit,"DOHA, QATAR - Luis Enrique was replaced by Luis de la Fuente as Spain's coach on Thursday, two days after the national team was eliminated in the round of 16 at the World Cup.
Spain lost to Morocco 3-0 in a penalty shootout after a scoreless draw in regular and extra time.

The Spanish soccer federation thanked Luis Enrique, but said it was time to ""start a new project"" to keep the growth achieved by the coach in recent years. It said the change was made after a recommendation by its sporting officials.
Luis Enrique said he was thankful to his players while he was in charge, as well as to federation president Luis Rubiales.

""I'm sorry I wasn't able to help more,"" the outgoing coach said in a statement posted on Twitter and Instagram. ""It was very special to be part of this.""

He also thanked fans and called for their support to the new coach.

""What the national team needs is support, in all its meaning, so Luis de la Fuente can achieve the goals.""

The 61-year-old De la Fuente, a former left back with Sevilla and Athletic Bilbao, helped Spain's under-19 squad win the European Championship in 2015, and the under-21 team win Euro 2019. He also coached Spain's squad, which won a silver medal at the Tokyo Olympic Games.

De la Fuente had coached the senior national team once, when youth players were used in a friendly against Lithuania because the main squad had to go into isolation because of the coronavirus.

Other candidates who had been considered besides De la Fuente, who was Spain's under-21 coach, included former Belgium manager Roberto Martinez and former Athletic Bilbao coach Marcelino Garcia Toral.

Spain got off to a good start in Qatar, routing Costa Rica 7-0, but La Roja couldn't win again in its last three matches. It drew 1-1 with Germany and lost 2-1 to Japan before being held by Morocco.

Luis Enrique took over the national team in 2018 to start revamping the squad after its elimination in the round of 16 of the World Cup in Russia. He temporarily left because of the illness and eventual death of his young daughter, but returned in 2019.

He helped Spain reach the last four of the Nations League twice, including this season and last year, when it lost the final to France.

He also led Spain to the semifinals of the European Championship last year, losing to Italy in a penalty shootout.

Luis Enrique's contract ended after the World Cup. The former Barcelona player and coach had said moments after the loss to Morocco that he would take some time to rest before starting talks with the federation about his future. He said he would have liked to stay with the national team ""forever,"" but knew that it might not be possible.

The 52-year-old Luis Enrique, not long ago seen as one of the most uptight coaches in soccer, had opened up at the World Cup, doing streaming sessions, going on bicycle rides and talking frankly about controversial issues.

The team's elimination in Qatar raised more questions about whether Spain should start overhauling its soccer philosophy and get rid of the ""tiki-taka"" ball-possession style that has not produced results recently. Luis Enrique had said he wasn't planning to relinquish the ""tiki-taka"" if he remained as coach, and De la Fuente also is likely to keep it alive.

De la Fuente is expected to make his debut with the senior team when Spain resumes playing in qualifying for Euro 2024 in March next year. The federation was also changing its sporting director.",CTV News,6/12/2022 05:19:31,CENTER,74
